20250319 040000,19762.75,19764,19761.25,19763.25,26
20250319 040100,19762.75,19764,19761,19761.5,18
20250319 040200,19760.25,19761.75,19758,19758,21
20250319 040300,19757.5,19759,19756.75,19758.75,26
20250319 040400,19759,19759,19750.5,19753.5,129
20250319 040500,19753.75,19754.25,19749,19751,93
20250319 040600,19751.5,19753.75,19746,19753.25,115
20250319 040700,19752.75,19752.75,19748.5,19748.75,45
20250319 040800,19749,19749,19747,19748.25,23
20250319 040900,19748,19752,19747.75,19750.75,42
20250319 041000,19750.25,19751.25,19748.25,19749,25
20250319 041100,19749,19749,19747,19747.75,33
20250319 041200,19747,19749,19746.75,19749,17
20250319 041300,19748.25,19749.25,19747.25,19749.25,19
20250319 041400,19748.5,19750,19748.25,19750,14
20250319 041500,19749.25,19749.25,19744.75,19745.5,48
20250319 041600,19744.75,19746,19740.75,19740.75,94
20250319 041700,19741.25,19742,19740.25,19741.25,24
20250319 041800,19741.25,19743.75,19741,19743.25,29
20250319 041900,19744.25,19745,19742.75,19743.75,52
20250319 042000,19742,19742.75,19739.75,19740.75,76
20250319 042100,19740.5,19743.25,19740,19743,35
20250319 042200,19743,19744.75,19743,19743.5,21
20250319 042300,19744.25,19744.75,19742,19743.25,34
20250319 042400,19743.5,19745.25,19743.25,19744.75,35
20250319 042500,19745.25,19746.5,19743.5,19743.5,58
20250319 042600,19744.5,19745,19742,19743,24
20250319 042700,19742,19742,19737,19738.5,79
20250319 042800,19739,19741.25,19739,19741.25,28
20250319 042900,19740.75,19740.75,19737.5,19738.25,22
20250319 043000,19738.75,19744.5,19738.75,19744.5,40
20250319 043100,19744,19746,19741.75,19742,37
20250319 043200,19742.25,19742.25,19737.75,19738.5,39
20250319 043300,19739.75,19739.75,19737,19738.5,29
20250319 043400,19737.75,19738.75,19736.25,19736.5,21
20250319 043500,19737.5,19741.25,19735.75,19739.75,34
20250319 043600,19738.75,19739,19738.25,19739,17
20250319 043700,19739.75,19739.75,19738.25,19738.5,5
20250319 043800,19737.5,19738.25,19736.75,19737.75,21
20250319 043900,19738,19738.75,19737.5,19738.25,16
20250319 044000,19738,19738.25,19731,19733.5,91
20250319 044100,19733.5,19736.25,19733.25,19734,56
20250319 044200,19734,19734,19732,19732.75,22
20250319 044300,19733,19735.5,19733,19735.5,21
20250319 044400,19736.5,19736.75,19735.5,19736.25,34
20250319 044500,19736.25,19736.5,19735.75,19735.75,17
20250319 044600,19736.25,19736.5,19735,19735.25,15
20250319 044700,19735,19737.75,19735,19737.75,20
20250319 044800,19738.5,19741,19738,19740.5,44
20250319 044900,19740.75,19740.75,19738.5,19738.5,18
20250319 045000,19738.5,19739.5,19737,19738.5,35
20250319 045100,19739,19739,19734.25,19734.25,45
20250319 045200,19734.5,19735,19732.5,19734,29
20250319 045300,19734.25,19734.75,19733.25,19734.75,9
20250319 045400,19734.25,19736.25,19734.25,19736.25,20
20250319 045500,19735.25,19736,19733.25,19734.5,34
20250319 045600,19735.5,19736.75,19734,19734.5,53
20250319 045700,19735.25,19736.5,19732,19733,47
20250319 045800,19734,19737,19734,19737,15
20250319 045900,19736.25,19736.75,19735.25,19736.25,9
20250319 050000,19736.75,19737,19735.75,19737,22
20250319 050100,19735.25,19735.25,19730.75,19732.75,28
20250319 050200,19733.25,19733.25,19728,19728,69
